disease,state,year,weeks_reporting,count,population
Polio,Alabama,1938,51,1843,2798382
Polio,Alabama,1939,52,1975,2815188
Polio,Alabama,1940,51,1235,2832961
Polio,Alabama,1941,51,1566,2852063
Polio,Alabama,1942,51,1640,2872445
Polio,Alabama,1943,52,2054,2893949
Polio,Alabama,1944,52,1314,2916414
Polio,Alabama,1945,52,1081,2939676
Polio,Alabama,1946,51,1048,2963562
Polio,Alabama,1947,51,2249,2987897
Polio,Alabama,1948,50,1263,3012499
Polio,Alabama,1949,52,515,3037179
Polio,Alabama,1950,50,1177,3061743
Polio,Alabama,1951,48,1209,3086002
Polio,Alabama,1952,48,945,3109808
Polio,Alabama,1953,46,317,3133025
Polio,Alabama,1954,47,748,3155509
Polio,Alabama,1955,51,1774,3177116
Polio,Alabama,1956,0,0,3197698
Polio,Alabama,1957,0,0,3217104
Polio,Alabama,1958,0,0,3235182
Polio,Alabama,1959,0,0,3251779
Polio,Alabama,1960,0,0,3266740
Polio,Alabama,1961,0,0,3280058
Polio,Alabama,1962,0,0,3292317
Polio,Alabama,1963,0,0,3304260
Polio,Alabama,1964,0,0,3316640
Polio,Alabama,1965,0,0,3330223
Polio,Alabama,1966,0,0,3345787
Polio,Alabama,1967,0,0,3364130
Polio,Alabama,1968,0,0,3386068
Polio,Alabama,1969,0,0,3412450
Polio,Alabama,1970,0,0,3444165
Polio,Alabama,1971,0,0,3481798
Polio,Alabama,1972,0,0,3524543
Polio,Alabama,1973,0,0,3571209
Polio,Alabama,1974,11,19,3620548
Polio,Alabama,1975,8,46,3671246
Polio,Alabama,1976,5,6,3721914
Polio,Alabama,1977,2,4,3771085
Polio,Alabama,1978,2,3,3817217
Polio,Alabama,1979,4,4,3858703
Polio,Alabama,1980,3,4,3893888
Polio,Alabama,1981,0,0,3921581
Polio,Alabama,1982,4,5,3942588
Polio,Alabama,1983,26,4,3958271
Polio,Alabama,1984,10,1,3970041
Polio,Alabama,1985,47,29,3979341
Polio,Alabama,1986,49,24,3987637
Polio,Alabama,1987,43,26,3996407
Polio,Alabama,1988,37,62,4007144
Polio,Alabama,1989,46,97,4021358
Polio,Alabama,1990,48,76,4040587
Polio,Alabama,1991,47,65,4066003
Polio,Alabama,1992,42,24,4097169
Polio,Alabama,1993,46,67,4133242
Polio,Alabama,1994,49,39,4173361
Polio,Alabama,1995,48,38,4216645
Polio,Alabama,1996,50,28,4262177
Polio,Alabama,1997,50,37,4309007
Polio,Alabama,1998,47,24,4356137
Polio,Alabama,1999,50,20,4402529
Polio,Alabama,2000,50,17,4447100
Polio,Alabama,2001,48,35,4488959
Polio,Alabama,2002,45,37,4528129
Polio,Alabama,2003,46,14,4564878
Polio,Alabama,2004,45,41,4599490
Polio,Alabama,2005,50,82,4632262
Polio,Alabama,2006,49,90,4663504
Polio,Alabama,2007,48,72,4693536
Polio,Alabama,2008,51,50,4722691
Polio,Alabama,2009,49,167,4751307
Polio,Alabama,2010,51,113,4779736
Polio,Alabama,2011,49,106,4808274
Polio,Alaska,1938,0,0,NA
Polio,Alaska,1939,0,0,NA
Polio,Alaska,1940,0,0,NA
Polio,Alaska,1941,0,0,NA
Polio,Alaska,1942,0,0,NA
Polio,Alaska,1943,0,0,NA
Polio,Alaska,1944,0,0,NA
Polio,Alaska,1945,0,0,NA
Polio,Alaska,1946,0,0,NA
Polio,Alaska,1947,0,0,NA
Polio,Alaska,1948,0,0,NA
Polio,Alaska,1949,0,0,NA
Polio,Alaska,1950,15,86,NA
Polio,Alaska,1951,19,78,NA
Polio,Alaska,1952,0,0,NA
Polio,Alaska,1953,0,0,NA
Polio,Alaska,1954,0,0,NA
Polio,Alaska,1955,9,55,NA
Polio,Alaska,1956,0,0,NA
Polio,Alaska,1957,0,0,NA
Polio,Alaska,1958,0,0,NA
Polio,Alaska,1959,0,0,NA
Polio,Alaska,1960,0,0,226167
Polio,Alaska,1961,0,0,232750
Polio,Alaska,1962,0,0,239521
Polio,Alaska,1963,0,0,246479
Polio,Alaska,1964,0,0,253624
Polio,Alaska,1965,0,0,260957
Polio,Alaska,1966,0,0,268476
Polio,Alaska,1967,0,0,276180
Polio,Alaska,1968,0,0,284068
Polio,Alaska,1969,0,0,292136
Polio,Alaska,1970,0,0,300382
Polio,Alaska,1971,0,0,308810
Polio,Alaska,1972,0,0,317458
Polio,Alaska,1973,0,0,326376
Polio,Alaska,1974,0,0,335621
Polio,Alaska,1975,3,4,345253
Polio,Alaska,1976,0,0,355341
Polio,Alaska,1977,3,5,365958
Polio,Alaska,1978,11,19,377187
Polio,Alaska,1979,6,10,389118
Polio,Alaska,1980,5,5,401851
Polio,Alaska,1981,0,0,415458
Polio,Alaska,1982,0,0,429850
Polio,Alaska,1983,17,5,444879
Polio,Alaska,1984,9,0,460375
Polio,Alaska,1985,44,31,476138
Polio,Alaska,1986,45,5,491942
Polio,Alaska,1987,46,9,507531
Polio,Alaska,1988,47,7,522622
Polio,Alaska,1989,18,3,536903
Polio,Alaska,1990,24,15,550043
Polio,Alaska,1991,44,9,561769
Polio,Alaska,1992,22,13,572122
Polio,Alaska,1993,39,3,581250
Polio,Alaska,1994,14,2,589317
Polio,Alaska,1995,8,0,596513
Polio,Alaska,1996,30,3,603039
Polio,Alaska,1997,47,12,609112
Polio,Alaska,1998,27,13,614959
Polio,Alaska,1999,47,5,620817
Polio,Alaska,2000,48,19,626932
Polio,Alaska,2001,28,10,633510
Polio,Alaska,2002,48,5,640570
Polio,Alaska,2003,13,6,648078
Polio,Alaska,2004,42,11,656003
Polio,Alaska,2005,49,123,664309
Polio,Alaska,2006,48,53,672961
Polio,Alaska,2007,50,37,681920
Polio,Alaska,2008,50,191,691147
Polio,Alaska,2009,50,70,700599
Polio,Alaska,2010,50,42,710231
Polio,Alaska,2011,50,27,720004
Polio,Arizona,1938,49,1626,480730
Polio,Arizona,1939,52,1035,489061
Polio,Arizona,1940,51,892,499261
Polio,Arizona,1941,51,1176,511731
Polio,Arizona,1942,51,1073,526617
Polio,Arizona,1943,52,945,544018
Polio,Arizona,1944,52,975,564056
Polio,Arizona,1945,51,853,586878
Polio,Arizona,1946,51,699,612654
Polio,Arizona,1947,51,1142,641579
Polio,Arizona,1948,49,1215,673875
Polio,Arizona,1949,52,563,709787
Polio,Arizona,1950,50,1953,749587
Polio,Arizona,1951,48,1806,793493
Polio,Arizona,1952,48,1704,841392
Polio,Arizona,1953,42,249,892999
Polio,Arizona,1954,52,839,947905
Polio,Arizona,1955,51,1589,1005547
Polio,Arizona,1956,0,0,1065190
Polio,Arizona,1957,0,0,1125907
